Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,087031,1990,26.1,24.3,24.7,20.7,17.4,14.5,14.1,13.9,16.6,19.5,22.4,25.6,20.0
IDCJAC0002,087031,1991,25.1,24.6,23.8,20.2,16.5,15.4,13.4,14.4,16.0,20.8,21.8,22.0,19.5
IDCJAC0002,087031,1992,21.7,24.1,24.0,20.8,16.7,13.6,13.9,13.7,14.1,18.3,19.4,22.7,18.6
IDCJAC0002,087031,1993,25.6,25.7,22.4,22.8,17.6,13.9,14.4,16.6,16.4,18.2,20.0,22.1,19.6
IDCJAC0002,087031,1994,24.3,24.5,21.9,20.4,17.1,14.5,15.4,14.5,15.7,19.9,20.7,26.1,19.6
IDCJAC0002,087031,1995,25.5,25.7,22.0,17.5,15.8,13.3,12.5,16.2,15.9,18.1,20.7,19.7,18.6
IDCJAC0002,087031,1996,24.2,23.2,23.2,17.9,16.2,14.5,13.0,14.5,16.4,19.3,20.8,21.3,18.7
IDCJAC0002,087031,1997,26.7,28.6,22.5,20.8,16.1,14.5,13.0,14.4,15.8,19.4,21.6,23.6,19.8
IDCJAC0002,087031,1998,26.0,26.1,24.0,18.4,16.2,13.7,12.6,14.9,18.4,18.6,20.3,23.9,19.4
IDCJAC0002,087031,1999,25.6,26.8,22.5,18.7,18.1,14.6,14.8,15.4,17.9,20.3,21.6,23.6,20.0
IDCJAC0002,087031,2000,24.3,29.0,25.2,21.0,16.2,14.2,13.8,15.0,17.5,18.0,22.1,25.3,20.1
IDCJAC0002,087031,2001,27.8,28.6,23.5,19.7,16.2,15.4,13.7,15.1,18.6,18.8,20.0,20.4,19.8
IDCJAC0002,087031,2002,24.7,24.5,23.4,20.9,17.5,15.4,15.2,15.6,18.7,20.5,23.2,24.4,20.3
IDCJAC0002,087031,2003,26.9,25.2,23.4,20.2,18.0,15.8,14.3,14.3,17.0,16.8,22.8,26.6,20.1
IDCJAC0002,087031,2004,23.6,25.1,22.9,20.8,17.0,14.7,13.5,15.5,16.3,20.4,21.3,23.9,19.6
IDCJAC0002,087031,2005,26.1,23.3,22.7,23.3,18.3,15.9,15.0,15.9,17.8,21.1,23.9,27.7,20.9
IDCJAC0002,087031,2006,26.8,24.5,25.2,18.8,15.9,13.6,14.0,16.4,18.9,21.7,22.1,24.8,20.2
IDCJAC0002,087031,2007,27.2,28.3,25.0,21.9,19.4,13.3,13.5,16.8,18.7,21.7,23.4,26.2,21.3
IDCJAC0002,087031,2008,27.3,24.2,26.8,20.5,16.9,15.3,13.8,14.1,18.5,21.7,22.7,22.8,20.4
IDCJAC0002,087031,2009,27.5,27.1,23.6,20.2,16.8,15.1,15.2,17.0,18.7,19.1,25.8,24.9,20.9
IDCJAC0002,087031,2010,26.7,27.3,25.2,22.5,17.5,14.1,14.0,13.9,15.6,19.4,21.6,23.6,20.1
IDCJAC0002,087031,2011,25.3,23.9,22.0,20.1,15.5,14.9,13.9,16.6,18.7,19.9,23.4,23.6,19.8
IDCJAC0002,087031,2012,26.4,26.2,22.8,21.3,16.6,13.7,14.2,14.6,17.6,20.2,22.7,25.0,20.1
IDCJAC0002,087031,2013,26.7,27.4,26.8,20.4,18.0,14.4,15.3,16.1,19.0,18.9,20.7,24.3,20.7
IDCJAC0002,087031,2014,28.0,27.3,24.8,20.2,18.8,15.2,14.1,15.0,18.4,21.9,23.0,23.7,20.9
IDCJAC0002,087031,2015,26.1,26.6,23.2,19.2,17.2,13.9,13.3,13.8,17.4,24.8,22.8,27.8,20.5
IDCJAC0002,087031,2016,26.2,25.7,24.7,22.5,18.6,14.0,14.2,15.5,16.5,19.0,21.0,25.6,20.3
IDCJAC0002,087031,2017,26.5,26.1,26.5,20.5,16.8,14.8,14.6,14.6,18.1,21.0,25.8,24.8,20.8
IDCJAC0002,087031,2018,27.5,27.2,25.1,21.9,17.5,14.2,14.9,15.1,17.7,21.4,22.3,25.6,20.9
IDCJAC0002,087031,2019,28.5,26.1,null,null,null,null,null,null,null,null,null,null,null
